# ----------------------------------------
# Pages et écrans: Chemin de la page et classe de l'écran
# Compte : Getup Agency
# Propriété : Bricometal.shop
# ----------------------------------------
# 
# Tous les utilisateurs
# Date de début : 20260102
# Date de fin : 20260129
Chemin de la page et classe de l'écran,Vues,Utilisateurs actifs,Vues par utilisateur actif,Durée d'engagement moyenne par utilisateur actif,Nombre d'événements,Événements clés,Revenu total
/44-serie-2000-lourde-10m-de-passage,62,30,2.066666666666667,51.666666666666664,157,0,0
/472-radius-optimum-ouverture-de-350m,62,25,2.48,31.92,124,0,0
/gonds-pour-portails-en-bois/5822-charniere-superieure-avec-support-de-fixation-du-portail-pivotant-bois.html,62,43,1.441860465116279,57.13953488372093,305,0,0
/serie-100-sans-rail-ouverture-6m/4461-systeme-exclusif-fac-portail-autoportant-sans-rail-ouverture-jusqu-a-6m-8016504089573.html,62,49,1.2653061224489797,46.16326530612245,324,0,0
/462-portail-telescopique-2-vantaux-ouverture-jusqu-a-80m,61,40,1.525,25.5,160,0,0
/promotions/3043-platine-acier-a-visser-150x150-4-trous-de-11mm-epaisseur-6mm-9503964893493.html,61,35,1.7428571428571429,58.457142857142856,292,0,0
/12-serie-1000-legere-5m-de-passage,60,29,2.0689655172413794,44.13793103448276,150,0,0
/377-gaches-portail-coulissant,60,23,2.608695652173913,45.47826086956522,128,0,0
/promotions/3044-platine-acier-brut-a-visser-200x200mm-4-trous-o13mm-epaisseur-6mm-9505264222928.html,60,31,1.935483870967742,68.90322580645162,277,0,0
/464-portail-telescopique-3-vantaux-ouverture-jusqu-a-120m,59,38,1.5526315789473684,20.894736842105264,193,0,0
/kits-d-accessoires-radius-optimum/5781-kit-d-accessoires-pour-portail-coulissant-sectionnel-a-courbe-ouverture-de-450m-fac-radius-optimum-8017098117413.html,59,40,1.475,68.775,239,0,0
/serrures-type-industriel/3437-serrure-pompier-locinox-pour-profils-carres-de-40-a-60mm-entraxe-60mm-verte.html,59,45,1.3111111111111111,66.4888888888889,313,0,0
/15-serrures-en-applique,58,40,1.45,25.625,124,0,0
/278-portails-jusqu-a-4m-400kg,58,41,1.4146341463414633,45.65853658536585,152,0,0
/accessoires-en-pieces-detachees-radius/5848-cremaillere-acier-30x12-715cmm-percee-3-trous-entretoises-incluses-pour-portail-sectionnel-a-angle-optimus-fac.html,58,24,2.4166666666666665,82.79166666666667,246,0,0
/bordures-defensives/1663-bordure-defensive-en-acier-brut-pliee-et-decoupee-au-laser-25mm-de-hauteur-198m-de-longueur-3mm-d-epaisseur.html,58,31,1.8709677419354838,101.41935483870968,260,0,0
/butees-portail-coulissant/116-butee-sur-platine-90x90-8016504023942.html,58,48,1.2083333333333333,13.166666666666666,277,0,0
